MuestraOriginal,Orig Cu ppm,MuestraDuplicado,Dup Cu ppm,LoteLabID,FechaReporte,Control Type
8919,19,8927,19,78,27-03-14,DP
8974,13,8977,13,79,29-03-14,DP
9019,13,9027,19,79,29-03-14,DP
9074,36,9077,23,79,29-03-14,DP
9119,93,9127,97,80,31-03-14,DP
9174,5,9177,5,80,31-03-14,DP
9219,21,9227,25,89,14-04-14,DP
9274,27,9277,21,89,14-04-14,DP
9319,5,9327,5,89,14-04-14,DP
9373,30,9377,26,90,14-04-14,DP
9420,5,9427,5,90,14-04-14,DP
9474,57,9477,55,91,15-04-14,DP
9519,5,9527,5,91,15-04-14,DP
9574,21,9577,30,92,16-04-14,DP
9619,44,9627,40,92,16-04-14,DP
9674,5,9677,5,92,16-04-14,DP
9719,19,9727,19,93,16-04-14,DP
9774,66,9777,66,93,16-04-14,DP
9819,49,9827,46,99,19-04-14,DP
9874,171,9877,173,99,19-04-14,DP
9920,5,9927,5,99,19-04-14,DP
9974,68,9977,68,100,20-04-14,DP
10019,30,10027,34,73,21-03-14,DP
10074,91,10077,87,74,21-03-14,DP
10119,131,10127,110,74,21-03-14,DP
10174,245,10177,247,75,22-03-14,DP
10219,5,10227,5,75,22-03-14,DP
10273,21,10277,21,75,22-03-14,DP
10319,38,10327,38,76,22-03-14,DP
10374,32,10377,36,76,22-03-14,DP
10419,40,10427,40,81,06-04-14,DP
10473,5,10477,5,81,06-04-14,DP
10518,913,10527,951,81,06-04-14,DP
10574,53,10577,51,82,07-04-14,DP
10618,28,10627,21,82,07-04-14,DP
10674,19,10677,19,83,08-04-14,DP
10774,5,10777,5,84,09-04-14,DP
10819,78,10827,82,84,09-04-14,DP
10874,27,10877,23,84,09-04-14,DP
10919,17,10927,13,85,10-04-14,DP
10974,61,10977,49,85,10-04-14,DP
11018,51,11027,42,86,11-04-14,DP
11074,30,11077,13,86,11-04-14,DP
11119,32,11127,27,86,11-04-14,DP
11166,46,11177,51,87,13-04-14,DP
11219,5,11227,5,87,13-04-14,DP
11274,5,11277,5,88,13-04-14,DP
11319,49,11327,42,88,13-04-14,DP
11374,112,11377,114,94,17-04-14,DP
11419,5,11427,5,94,17-04-14,DP
11474,5,11477,5,94,17-04-14,DP
11519,114,11527,106,95,17-04-14,DP
11574,51,11577,42,95,17-04-14,DP
11619,5,11627,5,96,18-04-14,DP
11674,5,11677,5,96,18-04-14,DP
11719,5,11727,5,96,18-04-14,DP
11774,370,11777,372,97,18-04-14,DP
11820,5,11827,13,97,18-04-14,DP
11874,5,11877,5,98,19-04-14,DP
11919,19,11927,27,98,19-04-14,DP
11966,222,11977,224,105,22-04-14,DP
12008,5,12027,5,105,22-04-14,DP
12074,5,12077,5,105,22-04-14,DP
12119,19,12127,19,106,23-04-14,DP
12174,5,12177,5,106,23-04-14,DP
12219,27,12227,23,107,23-04-14,DP
12274,13,12277,13,107,23-04-14,DP
12316,5,12327,5,107,23-04-14,DP
12369,5,12377,5,108,24-04-14,DP
12419,32,12427,27,108,24-04-14,DP
12474,5,12477,5,109,24-04-14,DP
12519,19,12527,19,109,24-04-14,DP
12574,5,12577,5,110,25-04-14,DP
12619,5,12627,5,110,25-04-14,DP
12674,5,12677,5,110,25-04-14,DP
12719,5,12727,5,117,28-04-14,DP
12774,5,12777,5,117,28-04-14,DP
15019,5,15027,5,100,20-04-14,DP
15074,27,15077,19,101,20-04-14,DP
15119,5,15127,5,101,20-04-14,DP
15174,5,15177,5,102,21-04-14,DP
15219,5,15227,11,102,21-04-14,DP
15274,13,15277,13,102,21-04-14,DP
15319,34,15327,32,103,21-04-14,DP
15374,5,15377,5,103,21-04-14,DP
15419,5,15427,5,104,22-04-14,DP
15473,5,15477,5,104,22-04-14,DP
15519,5,15527,5,104,22-04-14,DP
15574,5,15577,5,111,25-04-14,DP
15619,5,15627,5,111,25-04-14,DP
15674,5,15677,5,112,26-04-14,DP
15719,5,15727,5,112,26-04-14,DP
15774,5,15777,5,113,26-04-14,DP
15819,5,15827,13,113,26-04-14,DP
15874,11,15877,5,113,26-04-14,DP
15919,5,15927,5,114,27-04-14,DP
15974,5,15977,5,114,27-04-14,DP
16019,5,16027,5,115,27-04-14,DP
16074,5,16077,5,115,27-04-14,DP
16119,5,16127,11,115,27-04-14,DP
16173,5,16177,5,116,28-04-14,DP
70019,5,70027,5,118,19-03-14,DP
70074,5,70077,5,118,19-03-14,DP
70119,34,70127,34,118,19-03-14,DP
70174,34,70177,27,121,24-03-14,DP
70219,25,70227,25,121,24-03-14,DP
70274,17,70277,19,123,25-03-14,DP
70319,5,70327,5,123,25-03-14,DP
70371,5,70377,5,125,26-03-14,DP
70419,5,70427,5,125,26-03-14,DP
70474,5,70477,5,125,26-03-14,DP
70519,13,70527,15,127,27-03-14,DP
70574,30,70577,30,127,27-03-14,DP
70619,334,70627,331,130,29-03-14,DP
70674,161,70677,165,130,29-03-14,DP
70719,13,70727,5,130,29-03-14,DP
70773,13,70777,13,131,30-03-14,DP
70819,15,70827,15,131,30-03-14,DP
70874,5,70877,15,132,30-03-14,DP
70919,230,70927,216,132,30-03-14,DP
70974,61,70977,59,134,31-03-14,DP
71074,13,71077,13,134,31-03-14,DP
71124,25,71127,27,137,08-04-14,DP
71174,112,71177,112,137,08-04-14,DP
71219,34,71227,36,138,10-04-14,DP
71274,5,71277,5,138,10-04-14,DP
75019,5,75027,5,119,20-03-14,DP
75074,25,75077,25,119,20-03-14,DP
75119,70,75127,72,119,20-03-14,DP
75173,72,75177,65,120,23-03-14,DP
75220,78,75227,93,120,23-03-14,DP
75273,13,75277,30,122,24-03-14,DP
75319,19,75327,30,122,24-03-14,DP
75374,5,75377,5,124,25-03-14,DP
75419,5,75427,5,124,25-03-14,DP
75474,23,75477,25,124,25-03-14,DP
75519,304,75527,306,126,26-03-14,DP
75574,169,75577,171,126,26-03-14,DP
75618,171,75627,165,128,28-03-14,DP
75674,74,75677,82,128,28-03-14,DP
75719,186,75727,190,128,28-03-14,DP
75773,87,75777,63,129,28-03-14,DP
75819,27,75827,32,129,28-03-14,DP
75874,66,75877,63,133,31-03-14,DP
75919,289,75927,304,133,31-03-14,DP
75974,49,75977,49,135,05-04-14,DP
76019,5,76027,5,135,05-04-14,DP
76074,5,76077,5,135,05-04-14,DP
76119,40,76127,34,136,07-04-14,DP
76174,5,76177,5,136,07-04-14,DP
80024,522,80027,526,139,10-04-14,DP
80073,186,80077,197,139,10-04-14,DP
80119,146,80127,152,139,10-04-14,DP
80174,171,80177,175,140,12-04-14,DP
80219,459,80227,450,140,12-04-14,DP
80274,5,80277,5,141,12-04-14,DP
80319,13,80327,13,141,12-04-14,DP
80374,125,80377,129,142,13-04-14,DP
